12:41:45.388280;Log;Started
12:41:45.403904;MQTT;State;Starting...
12:41:45.419527;MQTT;State;Started
12:41:45.419527;MQTT;Send;USS/SS/FwdCam/Health/;65,27,75.0,Started,Started,NotStarted,Heartbeat,no
12:41:48.449222;MQTT;Send;USS/SS/FwdCam/Health/;65,27,57.4,Started,Started,NotStarted,Heartbeat,no
12:41:51.456380;MQTT;Send;USS/SS/FwdCam/Health/;65,27,57.0,Started,Started,NotStarted,Heartbeat,no
12:41:54.458842;MQTT;Send;USS/SS/FwdCam/Health/;65,27,46.6,Started,Started,NotStarted,Heartbeat,no
12:41:57.471345;MQTT;Send;USS/SS/FwdCam/Health/;65,27,49.9,Started,Started,NotStarted,Heartbeat,no
12:42:00.486777;MQTT;Send;USS/SS/FwdCam/Health/;65,27,52.5,Started,Started,NotStarted,Heartbeat,no
12:42:03.489199;MQTT;Send;USS/SS/FwdCam/Health/;65,27,52.1,Started,Started,NotStarted,Heartbeat,no
12:42:06.495728;MQTT;Send;USS/SS/FwdCam/Health/;65,27,35.1,Started,Started,NotStarted,Heartbeat,no
12:42:09.513379;MQTT;Send;USS/SS/FwdCam/Health/;65,27,28.9,Started,Started,NotStarted,Heartbeat,no
12:42:12.523124;MQTT;Send;USS/SS/FwdCam/Health/;65,27,28.9,Started,Started,NotStarted,Heartbeat,no
12:42:15.533713;MQTT;Send;USS/SS/FwdCam/Health/;65,27,30.4,Started,Started,NotStarted,Heartbeat,no
12:42:18.550372;MQTT;Send;USS/SS/FwdCam/Health/;65,27,32.2,Started,Started,NotStarted,Heartbeat,no
12:42:21.552964;MQTT;Send;USS/SS/FwdCam/Health/;65,27,27.8,Started,Started,NotStarted,Heartbeat,no
12:42:24.569624;MQTT;Send;USS/SS/FwdCam/Health/;65,27,27.6,Started,Started,NotStarted,Heartbeat,no
12:42:27.578184;MQTT;Send;USS/SS/FwdCam/Health/;65,27,26.9,Started,Started,NotStarted,Heartbeat,no
12:42:30.618489;MQTT;Send;USS/SS/FwdCam/Health/;65,27,26.7,Started,Started,NotStarted,Heartbeat,no
12:42:33.631912;MQTT;Send;USS/SS/FwdCam/Health/;65,27,26.9,Started,Started,NotStarted,Heartbeat,no
12:42:36.641515;MQTT;Send;USS/SS/FwdCam/Health/;65,27,29.2,Started,Started,NotStarted,Heartbeat,no
12:42:39.658141;MQTT;Send;USS/SS/FwdCam/Health/;65,27,28.2,Started,Started,NotStarted,Heartbeat,no
12:42:42.667741;MQTT;Send;USS/SS/FwdCam/Health/;65,27,28.7,Started,Started,NotStarted,Heartbeat,no
