16:41:55.848428;Log;Started
16:41:55.858422;MQTT;State;Starting...
16:41:57.119708;MQTT;State;Error, failed to start
16:41:57.129696;MQTT;State;Starting...
16:41:58.299028;MQTT;State;Error, failed to start
16:41:58.306043;MQTT;State;Starting...
16:41:59.473360;MQTT;State;Error, failed to start
16:41:59.480353;MQTT;State;Starting...
16:42:00.704654;MQTT;State;Error, failed to start
16:42:00.711650;MQTT;State;Starting...
16:42:01.835008;MQTT;State;Error, failed to start
16:42:01.845003;MQTT;State;Starting...
16:42:03.058309;MQTT;State;Error, failed to start
16:42:03.066305;MQTT;State;Starting...
16:42:04.288608;MQTT;State;Error, failed to start
16:42:04.294604;MQTT;State;Starting...
16:42:05.407968;MQTT;State;Error, failed to start
16:42:05.415963;MQTT;State;Starting...
16:42:06.436946;MQTT;State;Error, failed to start
16:42:06.444925;MQTT;State;Starting...
16:42:07.666323;MQTT;State;Error, failed to start
16:42:07.672321;MQTT;State;Starting...
16:42:08.693255;MQTT;State;Error, failed to start
16:42:08.700251;MQTT;State;Starting...
16:42:09.729249;MQTT;State;Error, failed to start
16:42:09.734244;MQTT;State;Starting...
16:42:10.754321;MQTT;State;Error, failed to start
16:42:10.760304;MQTT;State;Starting...
16:42:11.970181;MQTT;State;Error, failed to start
16:42:11.977175;MQTT;State;Starting...
16:42:13.196852;MQTT;State;Error, failed to start
16:42:13.204846;MQTT;State;Starting...
16:42:14.322329;MQTT;State;Error, failed to start
16:42:14.327319;MQTT;State;Starting...
16:42:15.449104;MQTT;State;Error, failed to start
16:42:15.458098;MQTT;State;Starting...
16:42:16.525489;MQTT;State;Error, failed to start
16:42:16.562468;MQTT;State;Starting...
16:42:17.599045;MQTT;State;Error, failed to start
16:42:17.623031;MQTT;State;Starting...
16:42:18.655215;MQTT;State;Error, failed to start
16:42:18.662212;MQTT;State;Starting...
16:42:19.697370;MQTT;State;Error, failed to start
16:42:19.703367;MQTT;State;Starting...
